"OriginalProjectPath","RelativePath","Length","CreationTimeUtc","LastWriteTimeUtc","LastAccessTimeUtc","Attributes","Sha256","ArchiveAction","ArchiveReason","ArchiveRelativePath"
"C","Autos sort\makefile","182","2021-11-28T23:36:09.5724308Z","2021-11-28T22:55:07.0000000Z","2026-07-14T07:11:38.2846910Z","533536","68907c9cd7f840b576aa618152b4f2f1b8395df11577559becf2aa358b8a1e2e","copied","tracked-original-file","projects\C\Autos sort\makefile"
"C","Autos sort\objconv","811936","2021-11-28T23:36:09.7417587Z","2021-11-28T21:56:24.0000000Z","2026-07-14T07:11:38.2926970Z","533536","06ce5f140f41a1e7de54fbc6a3204d9f6122ed9fc86731dd5e3a2c2129870f08","copied","tracked-original-file","projects\C\Autos sort\objconv"
"C","Autos sort\out.txt","397","2021-11-28T23:36:09.6007350Z","2021-11-28T17:05:36.0000000Z","2026-07-14T07:11:38.3052596Z","533536","f699e0974aa8fbd28c1fb159079f02150124fb5e688060ba5c272c870534af68","copied","tracked-original-file","projects\C\Autos sort\out.txt"
"C","Autos sort\output.c","1789","2021-11-28T23:36:09.6256158Z","2021-11-28T17:05:36.0000000Z","2026-07-14T07:11:38.3131682Z","533536","057ab0f8cf355a63d89fcd85ccf3ac836281aa5a1d3572f33f139f248d8acd8d","copied","tracked-original-file","projects\C\Autos sort\output.c"
"C","Autos sort\perimeter.asm","10255","2021-11-28T23:36:09.8710003Z","2021-11-28T23:07:06.0000000Z","2026-07-14T07:11:38.3211729Z","533536","6922c31e09cb679ae348b779400595ff489996a48b934a259b73770b52e33bcf","copied","tracked-original-file","projects\C\Autos sort\perimeter.asm"
"C","Autos sort\perimeter.lst","17221","2021-11-28T23:36:09.7896128Z","2021-11-28T22:54:34.0000000Z","2026-07-14T07:11:38.3301701Z","533536","9fe8c8a6075746c78ec5c8d6c191056b9cc6bdbaa0f114003d6696312efd88e0","copied","tracked-original-file","projects\C\Autos sort\perimeter.lst"
"C","Autos sort\perimeter.o","2976","2021-11-28T23:36:09.9322125Z","2021-11-28T22:54:34.0000000Z","2026-07-14T07:11:38.3381700Z","533536","d97bf94a64162f2524e908f9c3e8c28cf4980ef0d5c2518ca34483596e80fa8a","manifest-only","generated-file:.o",""
"C","Autos sort\sorts.c","1906","2021-11-28T23:36:09.6724649Z","2021-11-28T21:30:27.0000000Z","2026-07-14T07:11:38.3391689Z","533536","32d0e3142f3ea64c7968037c6f19e35d15425c685231546540622f13f4b9ceed","copied","tracked-original-file","projects\C\Autos sort\sorts.c"
"C","Autos sort\sorts.o","2976","2021-11-28T23:36:09.9012566Z","2021-11-28T22:53:33.0000000Z","2026-07-14T07:11:38.3481692Z","533536","68b402a4b93ff282dec28201c8d820d5a63925c366285303009e85f9749aea0d","manifest-only","generated-file:.o",""
"C","Autos sort\sorts.s","4420","2021-11-28T23:36:09.6939357Z","2021-11-28T21:30:29.0000000Z","2026-07-14T07:11:38.3491696Z","533536","0d6222c4442d41c8983bc2c0bceeff0ad07ed66ca3629fa87bddc8c8ec5c1737","copied","tracked-original-file","projects\C\Autos sort\sorts.s"
"C","Autos sort\task","22624","2021-11-28T23:36:09.8378489Z","2021-11-28T23:05:12.0000000Z","2026-07-14T07:11:38.3591699Z","533536","10f3fd09a7702403b811c5972dbb6c9b3cfa88a45f2c55d4c9147ea1cb4547f4","copied","tracked-original-file","projects\C\Autos sort\task"
"C","Autos sort\test01.txt","80","2021-11-28T23:36:09.6500435Z","2021-11-28T17:05:36.0000000Z","2026-07-14T07:11:38.3681685Z","533536","5339b340bccbe9ffdb3269a2bc093ef749a7cec14f4030f233771224c6bea4fa","copied","tracked-original-file","projects\C\Autos sort\test01.txt"
